"word","mRT","accuracy"
"Balinese",850.606060606061,0.303030303030303
"Balkans",806.258064516129,0.741935483870968
"Baltic",696.741935483871,0.967741935483871
"Baltimore",789.727272727273,1
"Baltimore's",747.647058823529,1
"Bambi",771.685714285714,1
"Bangkok",779.529411764706,0.647058823529412
"Bangladesh",801.34375,0.9375
"Baptist",632.121212121212,1
"Baptists",774.029411764706,0.941176470588235
"Barbados",790.516129032258,0.870967741935484
"Barbara",678.030303030303,0.96969696969697
"Barry",698.65625,0.9375
"Bartlett",846.363636363636,0.727272727272727
"Bauhaus",814.861111111111,0.333333333333333
"Bavaria",809.733333333333,0.433333333333333
"Beatrice",752.322580645161,0.870967741935484
"Beaujolais",833.151515151515,0.121212121212121
"Becket",869.205882352941,0.470588235294118
"Bedouin",716.666666666667,0.303030303030303
"Beethoven",778.677419354839,0.935483870967742
"Beethoven's",705.766666666667,1
"Beirut",769.088235294118,0.470588235294118
"Belgian",874,0.96969696969697
"Belgians",714.206896551724,0.96551724137931
"Belgium",678.40625,0.96875
"Ben",560.805555555556,1
"Ben's",584.9375,0.96875
"Benedict",718.967741935484,0.967741935483871
"Benedictine",898.366666666667,0.833333333333333
"Bengal",857.911764705882,0.764705882352941
"Benjamin",762.294117647059,0.970588235294118
"Beowulf",799.935483870968,0.67741935483871
"Berkeley",822.6875,0.96875
"Berlin",692.794117647059,0.911764705882353
"Berlin's",734.205882352941,0.970588235294118
"Berliners",978.903225806452,0.451612903225806
"Bermuda",725.228571428571,0.942857142857143
"Bern",789.967741935484,0.548387096774194
"Bernard",744.9,0.966666666666667
"Bert",662.875,0.625
"Bertha",831.794117647059,1
"Beth",668.84375,0.96875
"Bethlehem",848.666666666667,0.939393939393939
"Betty",567.181818181818,1
"Betty's",676.294117647059,0.970588235294118
"Bhutan",742.878787878788,0.0909090909090909
"Bible",550.424242424242,1
"Bibles",603.903225806452,0.935483870967742
"Bill's",627.96875,0.9375
"Billy",644.909090909091,0.96969696969697
"Bismarck",938.9375,0.8125
"Blackfeet",872.28125,0.78125
"Bluebeard",880.225806451613,0.903225806451613
"Bob's",666.117647058824,0.970588235294118
"Bobby",685.941176470588,0.970588235294118
"Boeing",830.25,0.84375
"Bogartian",997.935483870968,0.161290322580645
"Bohemia",777.323529411765,0.911764705882353
"Bolivia",707.5,0.90625
"Bolivian",839.029411764706,0.882352941176471
"Bologna",717.393939393939,0.909090909090909
"Bolshevik",808.78125,0.625
"Bolsheviks",895.272727272727,0.606060606060606
"Bolshevism",981.84375,0.59375
"Bombay",876.085714285714,0.971428571428571
"Bordeaux",759.515151515152,0.636363636363636
"Borneo",856.15625,0.5625
"Boston",585.484848484848,1
"Boston's",657.441176470588,0.941176470588235
"Bostonian",817.060606060606,0.939393939393939
"Bostonians",851.58064516129,0.870967741935484
"Bowie",814,0.588235294117647
"Brad",698.058823529412,0.941176470588235
"Bradley",711.333333333333,0.96969696969697
"Brahmin",898,0.258064516129032
"Brahms",829.366666666667,0.6
"Brandon",788.666666666667,1
"Brandon's",694.242424242424,0.96969696969697
"Brandywine",1038.48387096774,0.838709677419355
"Brazil",665,0.9375
"Brazilian",711.441176470588,0.941176470588235
"Breton",774.34375,0.21875
"Brett",728.0625,0.9375
"Brewer's",847.233333333333,0.933333333333333
"Brian",685.090909090909,0.96969696969697
"Brie",805.625,0.375
"Brisbane",776.352941176471,0.470588235294118
"Bristol",837.323529411765,0.823529411764706
"Britain",718.242424242424,1
"Britain's",761.266666666667,0.933333333333333
"Britannic",1115.35483870968,0.548387096774194
"British",604.857142857143,0.971428571428571
"Britisher",1071.84848484848,0.333333333333333
"Briton",902.441176470588,0.382352941176471
"Britons",931.8125,0.46875
"Broadway",664.363636363636,0.939393939393939
"Broadway's",745.575757575758,1
"Bronx",704.676470588235,0.911764705882353
"Brooklyn",595.69696969697,1
"Brooklyn's",703.25,0.96875
"Bruce",655.794117647059,1
"Brunei",758.242424242424,0.151515151515152
"Brussels",772.060606060606,0.96969696969697
"Buchanan",874.181818181818,0.787878787878788
"Bucharest",855.46875,0.46875
"Budapest",770.333333333333,0.878787878787879
"Buddha",650.363636363636,0.939393939393939
"Buddhism",722.970588235294,0.941176470588235
"Buddhist",775.352941176471,0.852941176470588
"Buddhists",851.393939393939,0.909090909090909
"Bugatti",792.647058823529,0.117647058823529
"Buick",708.545454545455,0.939393939393939
"Bulgaria",729.125,1
"Bulgarian",785.90625,0.875
